Name,Position,SSN,Address,Email,Phone Number,Skill,ID
Dante Castro,CEO,454-25-8299,651 Aiken St,brandt4@hotmail.com,209-369-6867,Java,001
Gracie Stephenson,Manager,680-40-5847,80 Westhaven Cir,casper.lindgren90@gmail.com,951-766-1557,Java,002
Nola Carroll,Assistant,516-06-1990,10032 Forest View Pl,casper.goodwin81@gmail.com,760-965-2821,Java,003
Marcia Lyons,Assistant,644-04-4004,1227 County 489 Rd,reggie58@yahoo.com,708-447-0427,C++,004
Emilio Hunt,Team Lead,502-72-8913,3904 Whisper Rdg,derek66@gmail.com,207-839-0281,C++,005
Jeanne Barajas,Assistant manager,530-95-8706,15 Azalea Dr SE,elwin42@gmail.com,401-432-5900,python,006
Sherwood Logan,Worker,521-03-2123,602 Nikolas St,adeline_mosciski@yahoo.com,317-233-6846,python,007
Rickey Olsen,Worker,511-60-8385,200 Ebwine Rd,katelyn16@yahoo.com,559-528-2613,C#,008
Freddy Flowers,Worker,541-57-8498,58 Cleveland Ave,marcella.crona@yahoo.com,706-297-5465,C#,009
Ruben Hill,Worker,540-17-5062,8615 Cranberry Ct,watson17@hotmail.com,573-873-8236,C#,010
